Title,Author First Name,Author Last Name,Category,Location
Crash! Boom! A Math Tale,Robie H.,Harris,Numbers,Resource Room
Crayola Fall Colors,Mari,Schuh,Fall,Resource Room
Create Amazing Cool Stuff With Science!,Kirsten,Hall,S.T.E.A.M. Lab,S.T.E.A.M.
Creepy Carrots!,Aaron,Reynolds,Food/Nutrition,Resource Room
Creepy Carrots!,Aaron,Reynolds,Halloween,Resource Room
Creepy Carrots!,Aaron,Reynolds,,
Crunch The Shy Dinosaur,Cirocco,Dunlap,Dinosaurs,Resource Room
Curios George Goes to School,Margret,Reys,School,Resource Room
Curios George Visits the Zoo,Margret,Rey,Zoo,Resource Room
Curious George Builds an Igloo,Kathy,Waugh,Winter,Resource Room
Curious George Chasing Waves,Alessandra,Preziosi,Ocean,Resource Room
Curious George Discovers Space,Craig Miller,Joe Fallon,Space,Resource Room
Curious George Discovers The Ocean,Bethany V.,Freitas,Ocean,Resource Room
Curious George Discovers The Rainbow,Amy E.,Cherrix,St. Patricks Day,Resource Room
Curious George Feeds the Animals,Margret,Rey's,Zoo,Resource Room
Curious George Goes Camping,Margret,Rey,Camping,Resource Room
Curious George In The Snow,Margret,Rey,Winter,Resource Room
Curious George Museum Mystery,Anna,Meier,Dinosaurs,Resource Room
Curious George Visits The Dentist,Margret,Rey,Dental Health,Resource Room
Curious George: Fire Dog Rescue,Julie,Tibbott,Fire Safety,Resource Room
Curious George's First day of School,Anna Grossnickle,Hines,Beginning of the Year,Resource Room
Curious Goerge Plants A Seed,Sandra,Willard,Spring,Resource Room
Curly Sue as Kindnezz Girl,Teresa,Allen,Chapel,Specials
Dairy of a Spider,Doreen ,Cronin,Bugs,Resource Room
"Dan, the Taxi Man",Eric,Ode,Music,Specials
Danbi's Favorite Day,Anna,Kim,Activity Room,Activity Room
Dancing With Degas,Julie,Merberg,Artists,S.T.E.A.M.
Dandelion Magic,Darren,Farrell,Activity Room,Activity Room
"Dandelion Magic Go Ahead, Make Your Wish!",Darren,Farrell,,
Daniel Feels Left Out,Maggie,Testa,Feelings/Emotion,Resource Room
Daniel Goes To The Dentist,Kevin,Monk,Dental Health,Resource Room
Daniel Learns to Share,Becky,Friedman,Sharing,Resource Room
Daniel's Dinosaurs,Mary,Carmine,Dinosaurs,Resource Room
"Danny, the Duck with no Quack",Malachy,Doyle,Farm,Resource Room
David & Kayleen Design a Glider,Dayton Regional,STEM Center,S.T.E.A.M. Lab,S.T.E.A.M.
David Gets in Trouble,David,Shannon,Activity Room,Activity Room
Dazzle The Dinosaur,Marcus,PFister,Dinosaurs,Resource Room
Dear Mrs. LaRue Letters from Obedience School,Mark,Teague,S.T.E.A.M.,S.T.E.A.M.
Deer,JoAnn Early,Macken,Zoo Phonics,Resource Room
Degas and the Dance,Susan Goldman,Rubin,Artists,S.T.E.A.M.
Delivering Your Mail: A Book About Mail Carriers,Ann,Owen,Community Helpers,Resource Room
Dem Bones,Bob,Barner,Halloween,Resource Room
Desert Giant,Barbara,Bash,Animals,S.T.E.A.M.
Desert Giant,Barbara,Bash,Artists,S.T.E.A.M.
Desert Hare Or Artic Hare,Eric,Geron,Animals,S.T.E.A.M.
Detective LaRue Letters from the Investigation,Mark,Teague,S.T.E.A.M.,S.T.E.A.M.
Diary Of A Fly,Doreen,Cronin,S.T.E.A.M.,S.T.E.A.M.
Diary Of A Spider,Doreen,Cronin,S.T.E.A.M.,S.T.E.A.M.
Diary Of A Worm,Doreen,Cronin,Activity Room,Activity Room
Diary Of A Worm,Doreen,Cronin,S.T.E.A.M.,S.T.E.A.M.
Did Dinosaurs Have Dentists?,Patrick,O'Donnell,Dinosaurs,Resource Room
Different Abilities,Rebecca,Pettiford,Accepting Differences,Resource Room
Different Appearances,Rebecca,Pettiford,Accepting Differences,Resource Room
Different Cultures,Rebecca,Pettiford,Accepting Differences,Resource Room
Different Dogs,Liza,Charlesworth,Animals,S.T.E.A.M.
Different Families,Rebecca,Pettiford,Accepting Differences,Resource Room
Different Interests,Rebecca,Pettiford,Accepting Differences,Resource Room
"Dig, Dump, Roll",Sally,Sutton,Construction,Resource Room
Digger and Lew,Malachy,Doyle,,
Digger Man,Andrea,Zimmerman,Construction,Resource Room
Digger Man,Andrea,Zimmerman,Transportation,S.T.E.A.M.
Diggers and Dump Trucks,Angela,Royston,Transportation,S.T.E.A.M.
Diggersaurs,Michael,Whaite,Construction,Resource Room
Diggersaurs Mission To Mars,Michael,Whaite,Construction,Resource Room
Diggersaurs Mission To Mars,Michael,Whaite,Dinosaurs,Resource Room
Dino Block,Christopher,Franceschelli,Board Book,Resource Room
Dino-Dancing,Lisa,Wheeler,Dinosaurs,Resource Room
Dino-Thanksgiving,Lisa,Wheeler,Thanksgiving,Resource Room
Dinofours: It's Fire Drill Day!,Steve,Metzger,Fire Safety,Resource Room
Dinosaur Bites,Audrey,Perrott,Dinosaurs,Resource Room
Dinosaur Day,Ruth,Thompson,Dinosaurs,Resource Room
Dinosaurs,Gail,Gibbons,Dinosaurs,Resource Room
Dinosaurs,Erin,Kelly,Dinosaurs,Resource Room
Dinosaurs,Grace,Maccarone,Dinosaurs,Resource Room
Dinosaurs,Kathy Weidner,Zoehfeld,Dinosaurs,Resource Room
Dinosaurs Love Underpants,Claire,Freedman,Dinosaurs,Resource Room
Dinosaurs!,Jay,Johnson,Dinosaurs,Resource Room
Dinosaurs!  Strange And Wonderful,Laurence,Pringle,Dinosaurs,Resource Room
Dinosaurumpus!,Tony,Mitton,Dinosaurs,Resource Room
Discovering Great Artists,MaryAnn F.,Kohl,Artists,S.T.E.A.M.
Do Frogs Drink Hot Chocolate? How Animals Keep Warm,Etta,Kaner,Animals,S.T.E.A.M.
Do Frogs Drink Hot Chocolate? How Animals Kepp Warm,Etta,Kaner,Winter,Resource Room
Do Kangaroos Wear Seat Belts?,Jane,Kurtz,,
Do Lizards Eat Ice Cream?,Etta,Kaner,,
Do Lizards Eat Ice Cream? How Animals Beat the Heat,Etta,Kaner,Animals,S.T.E.A.M.
Do Not Lick This Book,Idan ,Ben-Barak,Germs & Hygiene,Resource Room
Do Unto Otters: A Book About Manners,Laurie,Keller,Kindness/Manners,Resource Room
Do You Want to Be My Friend?,Eric,Carle,Author Study,Author Study
Does A Kangeroo Have A Mother Too?,Eric,Carle,Zoo Phonics,Resource Room
"Does a Kangeroo Have a Mother, Too?",Eric,Carle,Author Study,Author Study
"Does A Kangeroo Have A Mother, Too?",Eric,Carle,Mother's Day/ Father's Day,Resource Room
Dogs & Puppies,Hinker,Books,Pets,Resource Room
Doing Your Best,Helen,Mortimer,School,Resource Room
Dolphin's Big Leap!,Kimberly,Weinberger,Ocean,Resource Room
Dolphins,Becky,Baines,Ocean,Resource Room
Dolphins,Valerie J.,Weber,Ocean,Resource Room
Dolphins,Melissa,Stewart,Sea Life,
Don't Blow Your Top!,Ame,Dyckman,Feelings & Emotions,Resource Room
Don't Call Me Bear!,Aaron,Blabey,Author Study,Author Study
Don't Let the Pigeon Drive the Bus,Mo ,Williams,Author Study,Author Study
Don't Let the Pigeon Drive the Bus!,Mo,Williams,School,Resource Room
Don't Let The Pigeon Drive The Sleigh!,Mo,Williams,Christmas,Resource Room
Don't Let the PIgeon Finish This Activity Book,Mo,Williams,Author Study,Author Study
Don't Let the Pigeon Stay Up Late,Mo ,Williams,Author Study,Author Study
Don't Push The Button!,Bill,Cotter,Activity Room,Activity Room
Don't Talk to Strangers!,Christine,Mehlhaff,Activity Room,Activity Room
Don't Throw It To Mo!,David A.,Adler,Sports,Resource Room
Don't Touch That Flower,Alice,Hemming,Spring,Resource Room
Don't Touch!,Seb,Dauvey,Sharing,Resource Room
Don't Wake Up The Bear!,Marjorie Dennis,Murray,Hibernation,Resource Room
"Don't Worry, Douglas!",David,Melling,Feelings & Emotions,Resource Room
Dooby Dooby Moo,Doreen ,Cronin,Farm,Resource Room
Dora's Book Of Manners,Christine,Ricci,Kindness/Manners,Resource Room
Dora's Thanksgiving,Sarah,Willson,Thanksgiving,Resource Room
Dot the Fire Dog,Lisa,Desimini,Fire Safety,Resource Room
Down by the Barn,Will,Hillenbrand,Farm,Resource Room
Down Down Down,Steve,Jenkins,Sea Life,
Down on the Farm,Merrily,Kutner,Farm,Resource Room
Dragons Love Tacos,Adam,Rubin,Food/Nutrition,Resource Room
Drat That Fat Cat!,Pat,Thompson,Pets,Resource Room
Drawbridges Open and Close,Patrick T.,McBriarty,Building,STEAM
Dreaming Up,Christy,Hale,Building,STEAM
Drop: An Adventure Through The Water Cycle,Emily Kate,Moon,Weather,Resource Room
Duck & Goose,Tad,Hills,,
Duck and Goose Find a Pumpkin,Tad,Hills,Fall,Resource Room
Duck in the Truck,Jez,Alborough,Farm,Resource Room
Duck On A Tractor,David,Shannon,Farm,Resource Room
Ducklings,Marfe Ferguson,Delano,Spring,Resource Room
Duncan the Story Dragon,Amanda,Driscoll,,
Dusty Locks And The Three Bears,Susan,Lowell,Fairy Tales,Resource Room
Each Orange Had 8 Slices,Paul,"Giganti, Jr.",S.T.E.A.M. Lab,S.T.E.A.M.
Each Peach Pear Plum,Janet,Ahlberg,Fairy Tales,Resource Room
Earth And Mars,Rosalind ,Mist,Space,Resource Room
Earth Day Every Day,Lisa,Bullard,Earth Day,Resource Room
Earth: All About Space,Alexandra,Zageris,Space,Resource Room
Earth! My First 4.45 Billion Years,Stacy,McAnulty,Earth Day,Resource Room
Easter Egg Hunt,Abby,Klein,Easter,Resource Room
Easter Suprise,Roger,Priddy,Easter,Resource Room
Eating the Alphabet Fruits & Vegetables from A to Z,Lois,Ehlert,Food/Nutrition,Resource Room
Eating Well,Sian,Smith,Food/Nutrition,Resource Room
Elmer,David,McKee,Accepting Differences,Resource Room
Emergency Vehicles,Penelope,Arlon,Fire Safety,Resource Room
Empathy Is Your Superpower: A Book About Understanding The Feelings Of Others,Cori,Bussolari,Empathy,Resource Room
Eraser,Anna,Kang,School,Resource Room
Esther the Wonder Pig,Steve,Jenkins,S.T.E.A.M.,S.T.E.A.M.
Even Superheroes Have Bad Days,Shelly,Becker,Activity Room,Activity Room
Even Superheroes Have Bad Days,Shelly,Becker,Activity Room,Activity Room
Even Superheroes Make Mistakes,Shelly,Becker,,
"Everybody! You, Me, & Us",Elise,Gravel,Accepting Differences,Resource Room
Exactly as Planned,Tao,Nyeu,Activity Room,Activity Room
Except When They Don't,Laura,Gehl,All About Me,Resource Room
Exploring The Sea,Celia,Bland,Ocean,Resource Room
Exploring Weather,Kathy,Wilmore,Weather,Resource Room
Eyes That Kiss In The Corners,Joanna,Ho,Accepting Differences,Resource Room
"Eyes, Nose, Fingers, and Toes",Judy,Hindley,All About Me,Resource Room
Fair Shares,Pippa,Goodhart,Activity Room,Activity Room
Fall Leaf Project,Margaret,McNamara,Fall,Resource Room
Fall Leaves,James ,McGee,Fall,Resource Room
Fall Leaves,Mary,Packard,Fall,Resource Room
Fall Mixed Up,Bob,Raczka,Fall,Resource Room
"Families, Families, Families",Suzane,Lang,Family,Resource Room
Family Heroes Keeping Us Healthy,Harriet,Evans,Me & My Body,Resource Room
Fantastic Bats,Liza,Charlesworth,Animals,S.T.E.A.M.
Farm Animals,Joanne,Mattern,Animals,S.T.E.A.M.
Farm Animals,Wade,Cooper,Farm,Resource Room
Farm Animals,Catherine D.,Hughes,Farm,Resource Room
Farm Animals,Joanne,Mattern,Farm,Resource Room
Farm Babies,Joanna,McInerney,Farm,Resource Room
Farm Flu,Teresa,Bateman,Farm,Resource Room
Farm Friends,Liza,Charlesworth,Animals,S.T.E.A.M.
Farmyard Beat,Lindsey,Craig,Farm,Resource Room
Feathers for Lunch,Lois,Ehlert,Activity Room,Activity Room
Fennec Fox Or Artic Fox,Marilyn,Easton,Animals,S.T.E.A.M.
Festival of Colors,Kabir,Sehgal,Colors,Resource Room
Fidgety Fish And Friends,Paul,Bright,Ocean,Resource Room
Find & Color Fairy Tales,Highlights,Hidden Pictures,Fairy Tales,S.T.E.A.M.
Finding Kindness,Deborah,Underwood,Kindness,Resource Room
Finding Kindness,Deborah ,Underwood,Kindness/Manners,Resource Room
"Fins, Fleece, Feathers & Fur",Eric,Carle,Pets,Resource Room
Fire Fighters,Norma,Simon,Fire Safety,Resource Room
Fire Truck vs. Dragon,Chris,Barton,Fire Safety,Resource Room
Firefighters,Alison,Behnke,Fire Safety,Resource Room
Firehouse Tales: Super Truck,Mara,Conlon,Fire Safety,Resource Room
First Big Book Of Dinosaurs,Catherine D.,Hughes,Dinosaurs,Resource Room
First Big Book Of The Ocean,Catherine D.,Hughes,Ocean,Resource Room
First Day,Dandi Daley,Mackall,Beginning of the Year,Resource Room
First Day Jitters,Julie,Danneberg,School,Resource Room
First Snow,Nancy,Viau,Winter,Resource Room
First Steps With Shapes,Pino,Avonto,Shapes,Resource Room
Fish,Brenna,Maloney,Sea Life,
Fish is Fish,Leo,Lionni,Author Study,Author Study
Fish Wish,Bob,Barner,Sea Life,
Five Bouncing Bunnies,Lee,Taylor,Easter,Resource Room
Five Busy Elves,Patricia,Hegarty,Christmas,Resource Room
Five Colorful Crayons,Lee,Taylor,Colors,Resource Room
Five Little Ghosts,Patricia,Hegarty,Halloween,Resource Room
Five Little Monkeys Jumping On The Bed,Eileen,Christelow,Numbers,Resource Room
Five Little Monkeys Jumping On The Bed,Eileen,Christelow,Numbers,Resource Room
Five Little Monkeys Sitting In A Tree,Eileen,Christelow,Numbers,Resource Room
Five Little Monkeys With Nothing To Do,Eileen,Christelow,Numbers,Resource Room
Five Little Penguins Slipping On The Ice,Steve,Metzger,Winter,Resource Room
Five Little Pumpkins,Dan,Yaccarino,Halloween,Resource Room
Five Senses,Stephanie,Reid,Five Senses,Resource Room
Flip Flap Farm,Katie,Daynes,Farm,Resource Room
Flip-Flap Friends Mermicorns ,Richard,Merritt,Sea Life,
Flip's Snowman,Petr,Horacek,Winter,Resource Room
Fluffy Chicks,Robyn,Gaw,Farm,Resource Room
Fly Guy Presents Dogs,Tedd,Arnold,Pets,Resource Room
Fly Guy's Big Family,Tedd,Arnold,Family,Resource Room
Follow Me Around the World,Aimee,Chapman,Board Book,Resource Room
Follow The Polar Bears,Sonia W.,Black,Polar Animals,Resource Room
Food Play!,Amy,Palanjian,Food/Nutrition,Resource Room
Football with Dad,Frank J.,Berrios,Sports,Resource Room
Forte Moves to Town,Vicky,Weber,Music,Specials
"Found You, Little Wombat",Angela,McAllister,Activity Room,Activity Room
Four Seasons Make A Year,Anne,Rockwell,Weather,Resource Room
Fox Makes Friends,Adam,Relf,How To Be A Friend,Resource Room
Fox On A Box,Phil Roxbee,Cox,Zoo Phonics,Resource Room
Frankencrayon,Michael ,Hall,All About Me,Resource Room
Franklin's Neighborhood,Paulette,Bourgeois,The World,
Frederick,Leo,Lionni,Author Study,Author Study
Frederick,Leo,Lionni,Zoo Phonics,Resource Room
Frederico and the Wolf,Rebecca J.,Gomez,S.T.E.A.M.,S.T.E.A.M.
Freight Train,Donald,Crews,Board Book,Resource Room
Freight Train,Donald,Crews,Transportation,S.T.E.A.M.
Fresh Fall Leaves,Betsy,Franco,Fall,Resource Room
Frida Kahlo,Mike,Venezia,Artists,S.T.E.A.M.
Friendly Day,Mij,Kelly,Activity Room,Activity Room
Friends Stick Together,Hannah E.,Harrison,How To Be A Friend,Resource Room
Friendsgiving,Nancy,Siscoe,Thanksgiving,Resource Room
Friendship,Helen,Mortimer,School,Resource Room
Frog In The Kitchen Sink,Jim,Post,Pond,Resource Room
Frog On A Log?,Kes ,Gray,Pond,Resource Room
Froggy Gets A Doggy,Jonathan,London,Pets,Resource Room
Froggy Goes To Camp,Jonathan ,London,Camping,Resource Room
Froggy Goes To Camp,Jonathan ,London,Summer,Resource Room
Froggy Goes to School,Jonathan,London,Beginning of the Year,Resource Room
Froggy Plays in the Band,Jonathan,London,,
Froggy Plays T-Ball,Jonathan ,London,Spring,Resource Room
Froggy Rides A Bike,Jonathan,London,Activity Room,Activity Room
Froggy's Best Babysitter,Jonathan,London,Activity Room,Activity Room
Froggy's Day With Dad,Jonathan ,London,Mother's Day/ Father's Day,Resource Room
Froggy's Sleepover,Jonathan,London,,
Froggy's Worst Play Date,Jonathan,London,How To Be A Friend,Resource Room
Frogs!,Elizabeth,Carney,Pond,Resource Room
From A to Z With Energy!,Connie Bergstein,Dow,Alaphabet,Resource Room
From Caterpillar to Butterfly,Deborah,Heiligman,Bugs,Resource Room
From Head to Toe,Eric,Carle,Author Study,Author Study
From Tadpole To Frog,Wendy,Pfeffer,Pond,Resource Room
Frozen Worlds,Caryn,Jenner,Winter,Resource Room
Fruits & Vegetables,Kathy,Kifer,Garden,STEAM
Fruits In Suits,Jared,Chapman,Food/Nutrition,Resource Room
Full of Fall,April Pulley,Sayre,Fall,Resource Room
Funny Farm,Mark,Teague,Artists,S.T.E.A.M.
Future Doctor,Lori,Alexander,Community Helpers,Resource Room
Galapagos Penguin Or Emperor Penguin,Eric,Geron,Animals,S.T.E.A.M.
Garden Day!,Candice,Ransom,Spring,Resource Room
Gems,Andrea,Rivera,Rocks/Emotions,S.T.E.A.M.
George's Store At The Shore,Francine,Bassede,Ocean,Resource Room
Georges Seurat,Mike,Venezia,Artists,S.T.E.A.M.
Georgia O'Keeffe,Mike,Venezia,Artists,S.T.E.A.M.
"Geraldine, the Music Mouse",Leo,Lionni,Author Study,Author Study
Germs Make Me Sick!,Melvin,Berger,Germs & Hygiene,Resource Room
Germs! Germs! Germs!,Bobbi,Katz,Germs & Hygiene,Resource Room
"Get a Hit, Mo!",David A.,Adler,Sports,Resource Room
Ghost In The House,Ammi-Joan,Paquette,Halloween,Resource Room
"Giggle, Giggle, Quack",Doreen ,Cronin,Farm,Resource Room
Gilbert In Deep,Jane,Clarke,Ocean,Resource Room
Gilbert The Great,Jane,Clarke,Ocean,Resource Room
Gingerbread Baby,Jan,Brett,Author Study,Author Study
Gingerbread Baby,Jan,Brett,Gingerbread,Resource Room
Gingerbread Friends,Jan,Brett,Author Study,Author Study
Gingerbread Friends,Jan,Brett,Gingerbread,Resource Room
Gingerbread Girl,Lisa Campbell,Ernst,Gingerbread,Resource Room
Gingerbread Mouse,Katy,Bratun,Gingerbread,Resource Room
Giraffes Can't Dance,Giles,Andreae,Accepting Differences,Resource Room
Give Back,Gina,Bellisarioa,Thanksgiving,Resource Room
Give Bees A Chance,Bethany,Barton,Bugs,Resource Room
Give Please A Chance,Bill,O'Reilly,Kindness/Manners,Resource Room
Give Thanks For Each Day,Steve,Metzger,Thanksgiving,Resource Room
Giving Thanks A Native American Morning Message,Chief Jake,Swamp,Thanksgiving,Resource Room
Glow Animals,K.C.,Kelly,S.T.E.A.M. Lab,S.T.E.A.M.
"Go Away, Big Green Monster",Ed,Emberley,Activity Room,Activity Room
"Go, Dog. Go!",P.D,Eastman,Board Book,Resource Room
"Go, Train, Go",Britt,Allcroft,Transportation,Resource Room
God Gave Us Easter,Lisa Tawn,Bergren,Easter,Resource Room
Goggles!,Ezra Jack,Keats,Author Study,Author Study
Going Outside Listen,Amy,Huntington,The World,
Going Outside Look,Amy,Huntington,The World,
Going Places,Peter,Reynolds,Author Study,Author Study
Goldilocks And The Three Bears,Mara,Alperin,Fairy Tales,Resource Room
Goldilocks And The Three Bears,Jan,Brett,Fairy Tales,Resource Room
"Good Morning, Pond",Alyssa Satin,Capucilli,Pond,Resource Room
Good Night Ireland,Adam,Gamble,Specials,Specials
"Good Night, Gorilla",Peggy,Rathmann,Zoo,Resource Room
"Good Night, Mr. Panda",Steve,Antony,,
"Good Night, Sweet Butterflies",Dawn,Bentley,Animals,S.T.E.A.M.
"Goodbye Autumn, Hello Winter",Kenard,Pak,Winter,Resource Room
"Goodbye Winter, Hello Spring",Kenard,Pak,Spring,Resource Room
"Goodbye Winter, Hello Spring",Kenard,Pak,Winter,Resource Room
Goodnight Baseball,Michael,Dahl,Sports,Resource Room
Goodnight Hockey,Michael,Dahl,Sports,Resource Room
Goodnight Moon,Margaret Wise,Brown,Activity Room,Activity Room
"Goodnight, Butterfly",Ross,Burach,,
"Goodnight, Goodnight, Construction Site Dump Truck's Colors",Sherri,Dusky,Colors,Resource Room
"Goodnight, Goodnight, Construction Site: Bulldozer's Shapes",Sherri Duskey,Rinker,Shapes,Resource Room
"Goodybe Summer, Hello Autumn",Kenard,Pak,Fall,Resource Room
Goose on the Loose,Phil,Roxbee Cox,Activity Room,Activity Room
Gorillas,Kathleen,Pohl,Zoo Phonics,Resource Room
Grandma Moses,Mike,Venezia,Artists,S.T.E.A.M.
Grandpa & Jake,Julie,Fortenberry,Activity Room,Activity Room
Grant Wood,Mike,Venezia,Artists,S.T.E.A.M.
"Gray Rabbit's 1,2,3",Alan,Baker,Numbers,Resource Room
Gray Rabbit's Odd One Out,Alan,Baker,Colors,Resource Room
Great American Artists for Kids,MaryAnn F.,Kohl,Artists,S.T.E.A.M.
Green Tractor,Kersten,Hamilton,Farm,Resource Room
Green Wilma,Tedd,Arnold,Colors,Resource Room
Groovy Joe: We're Going To Build A Rainbow,Eric,Litwin,Colors,Resource Room
Groundhog Gets A Say,Pamela Curtis,Swallow,Groundhog's Day,Resource Room
Groundhog Weather School,Joan,Holub,Groundhog's Day,Resource Room
Groundhug Day,Anne Marie,Pace,Groundhog's Day,Resource Room
Grow,Isabel,Otter,Spring,Resource Room
Grow Strong,Cheri J.,Meiners,Me & My Body,Resource Room
"Grow Up, David!",David,Shannon,Activity Room,Activity Room
Growing Vegetable Soup,Lois,Ehlert,Garden,STEAM
Grumpy Groundhog,Maureen,Wright,Groundhog's Day,Resource Room
Grumpy Monkey,Suzanne,Lang,Activity Room,Activity Room
Grumpy Monkey,Suzanne,Lang,Feelings & Emotions,Resource Room
Grumpy Monkey Play All Day,Suzanne,Lang,,
Grumpy Pants,Claire,Messer,Feelings/Emotion,Resource Room
Grumpycorn,Sarah,McIntyre,Feelings & Emotions,Resource Room
Grumpycorn,Sarah,McIntyre,How To Be A Friend,Resource Room
Grumpycorn,Sarah,McIntyre,,
Guess How Much I Love You,Sam,McBratney,Board Book,Resource Room
Guess Who's Fast?,Camilla de la,Bedoyere,Activity Room,Activity Room
Gwendoyn's Pet Garden,Anne,Renaud,Pets,Resource Room
H Is For Happy-Saurus,James ,Dillon,Dinosaurs,Resource Room
Hailstones And Halibut Bones: Adventures In Color,Mary,O'Neill,Colors,Resource Room
Halloween,Laura,Marsh,Halloween,Resource Room
Halloween Is Here!,Matt,Mitter,Halloween,Resource Room
"Hand, Hand, Fingers, Thumb",Al,Perkins,Me & My Body,Resource Room
Hands are Not for HItting,Martine,Agassi,Board Book,Resource Room
"Hanukkah, Oh Hanukkah",Susan L.,Roth,December Holidays,Resource Room
Hap-ped All Year,Keith,Baker,Activity Room,Activity Room
Happiness,Helen,Mortimer,Feelings & Emotions,Resource Room
Happt St. Patrick's Day,Nanette,Regan,St. Patricks Day,Resource Room
Happy Baby Animals,Roger,Priddy,Board Book,Resource Room
Happy Dreamer,Peter,Reynolds,Author Study,Author Study
"Happy Easter , Peter!",Frederick,Warne,Easter,Resource Room
Happy Easter Curious George,Margret,Rey,Easter,Resource Room
"Happy Easter, Biscuit!",Alyssa Satin,Capucilli,Easter,Resource Room
Happy Halloween From The Very Busy Spider,Eric,Carle,Halloween,Resource Room
"Happy Halloween, Curious George",N.T. ,Raymond,Halloween,Resource Room
"Happy Hanukkah, Curious George",Emily Flaschner,Meyer,December Holidays,Resource Room
Happy In Our Skin,Fran,Manushkin,Accepting Differences,Resource Room
Happy Pig Day,Mo ,Williams,Author Study,Author Study
Happy Thanksgiving Curious George,Cynthia,Platt,Thanksgiving,Resource Room
"Happy Valentines Day, Curious George",N. Di,Angelo,Valentine's Day,Resource Room
Happy-Sad Today,Lory,Britain,Feelings/Emotion,Resource Room
Hard Hat Area,Susan L.,Roth,Construction,Resource Room
Harry And His Bucket Full Of Dinosaurs Uh-Oh!,R. Schuyler,Hooke,Dinosaurs,Resource Room
Harry The Dirty Dog,Gene,Zion,Pets,Resource Room
Harvest Days Giving Thanks Around The World,Kate,DePalma,Thanksgiving,Resource Room
Hatch,Isabel,Otter,Spring,Resource Room
Haunted House,Sarah,Powell,Halloween,Resource Room
Have Fun Molly Lou Melon,Patty,Lovell,,
"Have Fun, Molly Lou Melon",Patty,Lovell,All About Me,Resource Room
Have You Filled a Bucket Today?,Carol,McCloud,Helping & Giving,Resource Room
Have You Filled a Bucket Today?,Carol ,McCloud,Kindness/Manners,Resource Room
Have You Seen My Cat?,Eric,Carle,Author Study,Author Study
"Head, Shoulders, Knees, And Toes",Traci N.,Todd,Me & My Body,Resource Room
Heartprints,P.K.,Hallinan,Valentine's Day,Resource Room
Heaven Is Having You,Giles,Andreae,Activity Room,Activity Room
Hedge Hog!,Ashlyn,Anstee,Kindness/Manners,Resource Room
Hedgehugs,Steve ,Wilson,How To Be A Friend,Resource Room
Hedgehugs,Steve,Wilson,Valentine's Day,Resource Room
Hedgehugs Autumn Hide-and-Squeak,Steve,Wilson,Fall,Resource Room
Hedgie's Suprise,Jan,Brett,Animals,S.T.E.A.M.
Hedgie's Surprise,Jan,Brett,Author Study,Author Study
Hello Spring!,Shelley ,Rotner,Spring,Resource Room
Hello Winter!,Shelley,Rotner,Winter,Resource Room
"Hello, Bird!",Liza,Charlesworth,Animals,S.T.E.A.M.
"Hello, Pumpkin",Maryann,Cocca-Leffler,Fall,Resource Room
"Hello, Snow!",Hope,Vestergaard,Winter,Resource Room
Hello! My name is... Apple,Mary,Atkinson,Apples,Resource Room
Hello! My Name is... Pine Gone,Mary,Atkinson,Rocks/Emotions,S.T.E.A.M.
Helpers in Your Neighborhood,Shira,Evans,The World,
Helping Hands,Lynette,Evans,Animals,S.T.E.A.M.
Henny Penny,Paul,Galdone,Fairy Tales,Resource Room
Henry And Mudge And The Snowman Plan,Cynthia,Rylant,Winter,Resource Room
Here Comes Halloween!,Caroline Jayne,Church,Halloween,Resource Room
Here Comes the Snow,Angela Shelf,Medearis,Winter,Resource Room
Here Is The Rain,Sottie,Davis,Weather,Resource Room
Hermit Crabs And Other Shallow-Water Life,Sally,Morgan,Ocean,Resource Room
"Hey, Water!",Antoinette,Portis,Sea Life,
"Hi, Cat!",Ezra Jack,Keats,Author Study,Author Study
Hibernate With Me,Benjamin,Scheuer,Hibernation,Resource Room
Hibernation,Melvin,Berger,Hibernation,Resource Room
Hibernation Station,Michelle,Meadows,Hibernation,Resource Room
Hidden Animals,Millicent E.,Selsam,Animals,S.T.E.A.M.
High Top,Tom,Lacey,Activity Room,Activity Room
Hippo's Tooth Suprise,Marjorie Dennis,Murray,School,Resource Room
Hippos Go Berserk!,Sandra,Boynton,Board Book,Resource Room
Holidays & Celebrations: A Shine-A-Light Book,Carron,Brown,December Holidays,Resource Room
Home For The Holidays,Craig,Manning,December Holidays,Resource Room
"Home, Sweet Home",Caroline,Pitcher,Pond,Resource Room
Honey,David,Ezra Stein,,
Honey Bees,Jill,Esbaum,Bugs,Resource Room
Honey...Honey...Lion!,Jan,Brett,Author Study,Author Study
Hooray For Fish!,Lucy,Cousins,Pets,Resource Room
Hooray for Honey Bees,Liza,Charlesworth,Animals,S.T.E.A.M.
Hooway for Wodney Wat,Helen,Lester,,
Hop On Pop,Dr.,Seuss,Dr. Seuss,Resource Room
Hopper,Marcus,Pfister,Easter,Resource Room
Hopper's Treetop Adventure,Marcus,Pfister,Easter,Resource Room
Horray For Amanda And Her Alligator,Mo ,Williams,Zoo Phonics,Resource Room
Horray For Summer,Lucy,Lucero,Summer,Resource Room
Horses,JoAnn Early,Macken,Zoo Phonics,Resource Room
How & Why Birds Use Their Bills,Elaine,Pascoe,Animals,S.T.E.A.M.
How A Seed Grows,Helene J.,Jordan,Spring,Resource Room
